time,edge_weight_89,edge_weight_810,edge_weight_811,edge_weight_812,edge_weight_813,edge_weight_914,edge_weight_915,edge_weight_916,edge_weight_917,edge_weight_918,edge_weight_1019,edge_weight_1020,edge_weight_1121,edge_weight_1122,edge_weight_1123,edge_weight_1224,edge_weight_1225,edge_weight_1326,edge_weight_1327
853,0,0,0,0,0,0,0,0,11,87,92,11,87,92,11,87,92,92,11
852,0,0,0,0,0,0,0,2584,11,87,92,11,87,92,11,87,2676,92,11
851,0,0,0,0,0,0,0,7751,11,87,92,11,87,92,11,87,7843,92,11
850,0,0,0,0,0,0,0,15501,11,87,92,11,87,92,11,87,15593,92,11
849,0,0,0,0,0,0,0,23251,11,87,92,11,87,92,11,87,23343,92,11
848,0,0,0,0,0,0,0,31001,11,87,92,11,87,92,11,87,31093,92,11
847,0,0,0,0,0,0,0,38751,11,87,92,11,87,92,11,87,38843,92,11
846,0,0,0,0,0,0,0,46501,11,87,92,11,87,92,11,87,46593,92,11
845,0,0,0,0,0,0,0,54251,11,87,92,11,87,92,11,87,54343,92,11
844,0,0,0,0,0,0,0,62001,11,87,92,11,87,92,11,87,62093,92,11
843,0,0,0,0,0,0,0,69751,11,87,92,11,87,92,11,87,69843,92,11
842,0,0,0,0,0,0,0,77501,11,87,92,11,87,92,11,87,77593,92,11
841,0,0,0,0,0,0,0,85251,11,87,92,11,87,92,11,87,85343,92,11
840,0,0,0,0,0,0,0,93001,11,87,92,11,87,92,11,87,93093,92,11
839,0,0,0,0,0,0,0,100755,11,87,92,11,87,92,11,87,100847,92,11
838,0,0,0,0,0,0,0,108513,11,87,92,11,87,92,11,87,108605,92,11
837,0,0,0,0,0,0,0,116276,11,87,92,11,87,92,11,87,116368,92,11
836,0,0,0,0,0,0,0,124039,11,87,92,11,87,92,11,87,124131,92,11
835,0,0,0,0,0,0,0,131802,11,87,92,11,87,92,11,87,131894,92,11
834,0,0,0,0,0,0,0,139565,11,87,92,11,87,92,11,87,139657,92,11
833,0,0,0,0,0,0,0,147328,11,87,92,11,87,92,11,87,147420,92,11
832,0,0,0,0,0,0,0,155091,11,87,92,11,87,92,11,87,155183,92,11
831,0,0,0,0,0,0,0,162854,11,87,92,11,87,92,11,87,162946,92,11
830,0,0,0,0,0,0,0,170617,11,87,92,11,87,92,11,87,170709,92,11
829,0,0,0,0,0,0,0,178380,11,87,92,11,87,92,11,87,178472,92,11
828,0,0,0,0,0,0,0,186143,11,87,92,11,87,92,11,87,186235,92,11
827,0,0,0,0,0,0,0,193906,11,87,92,11,87,92,11,87,193998,92,11
826,0,0,0,0,0,0,0,201669,11,87,92,11,87,92,11,87,201761,92,11
825,0,0,0,0,0,0,0,209432,11,87,92,11,87,92,11,87,209524,92,11
824,0,0,0,0,0,0,0,217195,11,87,92,11,87,92,11,87,217287,92,11
823,0,0,0,0,0,0,0,224958,11,87,92,11,87,92,11,87,225050,92,11
822,0,0,0,0,0,0,0,232721,11,87,92,11,87,92,11,87,232813,92,11
821,0,0,0,0,0,0,0,240484,11,87,92,11,87,92,11,87,240576,92,11
820,0,0,0,0,0,0,0,248247,11,87,92,11,87,92,11,87,248339,92,11
819,0,0,0,0,0,0,0,256010,11,87,92,11,87,92,11,87,256102,92,11
818,0,0,0,0,0,0,0,263773,11,87,92,11,87,92,11,87,263865,92,11
817,0,0,0,0,0,0,0,271536,11,87,92,11,87,92,11,87,271628,92,11
816,0,0,0,0,0,0,0,279299,11,87,92,11,87,92,11,87,279391,92,11
815,0,0,0,0,0,0,0,287062,11,87,92,11,87,92,11,87,287154,92,11
814,0,0,0,0,0,0,0,294826,11,87,92,11,87,92,11,87,294918,92,11
813,0,0,0,0,0,0,0,302590,11,87,92,11,87,92,11,87,302682,92,11
812,0,0,0,0,0,0,0,310354,11,87,92,11,87,92,11,87,310446,92,11
811,0,0,0,0,0,0,0,318118,11,87,92,11,87,92,11,87,318210,92,11
810,0,0,0,0,0,0,0,325882,11,87,92,11,87,92,11,87,325974,92,11
809,0,0,0,0,0,0,0,333646,11,87,92,11,87,92,11,87,333738,92,11
808,0,0,0,0,0,0,0,341411,11,87,92,11,87,92,11,87,341503,92,11
807,0,0,0,0,0,0,0,349176,11,87,92,11,87,92,11,87,349268,92,11
806,0,0,0,0,0,0,0,356941,11,87,92,11,87,92,11,87,357033,92,11
805,0,0,0,0,0,0,0,364706,11,87,92,11,87,92,11,87,364798,92,11
804,0,0,0,0,0,0,0,372471,11,87,92,11,87,92,11,87,372563,92,11
803,0,0,0,0,0,0,0,380237,11,87,92,11,87,92,11,87,380329,92,11
802,0,0,0,0,0,0,0,388003,11,87,92,11,87,92,11,87,388095,92,11
801,0,0,0,0,0,0,0,395769,11,87,92,11,87,92,11,87,395861,92,11
800,0,0,0,0,0,0,0,403535,11,87,92,11,87,92,11,87,403627,92,11
